"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 23 00:08:12 CST 2021","Sat Jan 23 00:08:12 CST 2021","64","test_case","test_shop","TestShop","","","商铺列表用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:12 CST 2021","Sat Jan 23 00:08:12 CST 2021","72","test_case","test_shop","TestShop","","","商铺列表用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:13 CST 2021","Sat Jan 23 00:08:13 CST 2021","50","test_case","test_shop","TestShop","","","商铺列表用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:00 CST 2021","Sat Jan 23 00:08:00 CST 2021","62","test_case","test_food","Test_food","","","错误商铺id","店铺错误存在"
"passed","Sat Jan 23 00:08:03 CST 2021","Sat Jan 23 00:08:03 CST 2021","57","test_case","test_food","Test_food","","","商铺店铺id正确","店铺id正确"
"passed","Sat Jan 23 00:08:04 CST 2021","Sat Jan 23 00:08:04 CST 2021","57","test_case","test_login","TestLogin","","","登录用例",""
"passed","Sat Jan 23 00:08:03 CST 2021","Sat Jan 23 00:08:04 CST 2021","55","test_case","test_login","TestLogin","","","登录用例",""
"passed","Sat Jan 23 00:08:04 CST 2021","Sat Jan 23 00:08:04 CST 2021","61","test_case","test_login","TestLogin","","","登录用例",""
"passed","Sat Jan 23 00:08:03 CST 2021","Sat Jan 23 00:08:03 CST 2021","62","test_case","test_login","TestLogin","","","登录用例",""
"passed","Sat Jan 23 00:08:05 CST 2021","Sat Jan 23 00:08:05 CST 2021","53","test_case","test_shop","TestShop","","","商铺修改用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:12 CST 2021","Sat Jan 23 00:08:12 CST 2021","67","test_case","test_shop","TestShop","","","商铺列表用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:12 CST 2021","Sat Jan 23 00:08:12 CST 2021","63","test_case","test_shop","TestShop","","","商铺列表用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:00 CST 2021","Sat Jan 23 00:08:00 CST 2021","87","test_case","test_food","Test_food","","","错误商铺id","店铺错误存在"
"passed","Sat Jan 23 00:08:02 CST 2021","Sat Jan 23 00:08:02 CST 2021","73","test_case","test_food","Test_food","","","商铺店铺id正确","店铺id正确"
"passed","Sat Jan 23 00:08:12 CST 2021","Sat Jan 23 00:08:13 CST 2021","54","test_case","test_shop","TestShop","","","商铺列表用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:01 CST 2021","Sat Jan 23 00:08:01 CST 2021","69","test_case","test_food","Test_food","","","商铺店铺id正确","店铺id正确"
"passed","Sat Jan 23 00:08:06 CST 2021","Sat Jan 23 00:08:06 CST 2021","70","test_case","test_shop","TestShop","","","商铺修改用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:01 CST 2021","Sat Jan 23 00:08:01 CST 2021","54","test_case","test_food","Test_food","","","错误商铺id","店铺错误存在"
"passed","Sat Jan 23 00:08:04 CST 2021","Sat Jan 23 00:08:04 CST 2021","54","test_case","test_login","TestLogin","","","登录用例",""
"passed","Sat Jan 23 00:08:10 CST 2021","Sat Jan 23 00:08:10 CST 2021","73","test_case","test_shop","TestShop","","","商铺修改用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:00 CST 2021","Sat Jan 23 00:08:00 CST 2021","54","test_case","test_food","Test_food","","","错误商铺id","店铺错误存在"
"passed","Sat Jan 23 00:08:07 CST 2021","Sat Jan 23 00:08:07 CST 2021","52","test_case","test_shop","TestShop","","","商铺修改用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:08 CST 2021","Sat Jan 23 00:08:08 CST 2021","69","test_case","test_shop","TestShop","","","商铺修改用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:04 CST 2021","Sat Jan 23 00:08:04 CST 2021","61","test_case","test_login","TestLogin","","","登录用例",""
"passed","Sat Jan 23 00:08:00 CST 2021","Sat Jan 23 00:08:00 CST 2021","53","test_case","test_food","Test_food","","","错误商铺id","店铺错误存在"
"passed","Sat Jan 23 00:08:13 CST 2021","Sat Jan 23 00:08:13 CST 2021","47","test_case","test_shop","TestShop","","","商铺列表用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:12 CST 2021","Sat Jan 23 00:08:12 CST 2021","78","test_case","test_shop","TestShop","","","商铺修改用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:11 CST 2021","Sat Jan 23 00:08:11 CST 2021","52","test_case","test_shop","TestShop","","","商铺修改用例","前置条件，商店存在用例"
"passed","Sat Jan 23 00:08:00 CST 2021","Sat Jan 23 00:08:01 CST 2021","63","test_case","test_food","Test_food","","","错误商铺id","店铺错误存在"
